Algoritmo|Cenario|Trocas|Comparacoes|Tempo
quick_time|vetor1000-1|6184|30566|0.0009980201721191406
quick_time|vetor1000-2|6240|29636|0.0009942054748535156
quick_time|vetor1000-3|6276|30792|0.0009970664978027344
merge_time|vetor1000-1|262888|6814|0.0019960403442382812
merge_time|vetor1000-2|275257|6664|0.001994609832763672
merge_time|vetor1000-3|168028|6145|0.0019943714141845703
selection_time|vetor1000-1|2000|499500|0.021939754486083984
selection_time|vetor1000-2|2000|499500|0.02097153663635254
selection_time|vetor1000-3|2000|499500|0.020942211151123047
insertion_time|vetor1000-1|995|249082|0.002025127410888672
insertion_time|vetor1000-2|992|250693|0.0019953250885009766
insertion_time|vetor1000-3|993|254078|0.0020062923431396484
index_time|vetor1000-1|0|0|0.0
index_time|vetor1000-2|0|0|0.0009682178497314453
index_time|vetor1000-3|0|0|0.0
